KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.58,-9.86,0.67,9.85,0.67,-6.910304,107.675438,0.17,12,0,9.16,693786
6.60,-9.87,0.68,9.86,0.80,-6.910304,107.675438,0.07,12,0,9.16,693995
6.62,-9.86,0.67,9.85,0.75,-6.910304,107.675438,0.13,12,0,10.68,694202
6.63,-9.89,0.61,9.84,0.95,-6.910304,107.675438,0.15,12,0,10.68,694409
6.63,-9.91,0.74,9.87,0.79,-6.910304,107.675438,0.24,12,0,6.10,694617
6.64,-10.00,0.75,9.90,1.18,-6.910304,107.675438,0.07,12,0,9.16,694824
6.63,-9.82,0.62,9.84,0.53,-6.910304,107.675438,0.30,12,0,9.16,695031
6.61,-9.81,0.65,9.76,0.66,-6.910304,107.675438,0.15,12,0,10.68,695238
6.63,-9.81,0.73,9.84,0.78,-6.910304,107.675438,0.24,12,0,6.10,695447
6.64,-9.81,0.73,9.84,0.78,-6.910304,107.675438,0.06,12,0,7.63,695654
6.63,-9.78,0.65,9.86,0.59,-6.910304,107.675438,0.22,12,0,6.10,695861
6.64,-9.78,0.69,9.88,0.79,-6.910304,107.675438,0.06,12,0,9.16,696068
6.61,-9.73,0.56,9.85,0.55,-6.910304,107.675438,0.13,12,0,9.16,696275
6.60,-9.75,0.78,9.84,0.74,-6.910304,107.675438,0.13,12,0,9.16,696482
6.59,-9.77,0.73,9.83,0.78,-6.910304,107.675438,0.09,12,0,7.63,696689
6.60,-9.74,0.64,9.81,0.64,-6.910304,107.675438,0.07,12,0,9.16,696898
6.60,-9.74,0.72,9.87,0.74,-6.910304,107.675438,0.24,12,0,9.16,697105
6.67,-9.74,0.74,9.98,0.90,-6.910304,107.675438,0.06,12,0,6.10,697312
6.66,-9.71,0.67,9.82,0.59,-6.910304,107.675438,0.28,12,0,10.68,697519
6.69,-9.74,0.69,9.84,0.96,-6.910304,107.675438,0.22,12,0,9.16,697726
6.70,-9.80,0.63,9.91,1.04,-6.910305,107.675438,0.04,12,0,9.16,697933
6.71,-9.77,0.84,9.84,0.55,-6.910305,107.675438,0.17,12,0,7.63,698140
6.75,-9.68,0.56,9.85,0.66,-6.910305,107.675438,0.17,12,0,9.16,698349
6.72,-9.98,1.00,9.89,2.10,-6.910305,107.675438,0.06,12,0,10.68,698556
